,Year,Country,Age,Income,Java,JavaScript,CSS,PHP,Python,Ruby,SQL,C#,C++,C,Perl,other (please specify)
1,2011,Africa,< 20,Student / Unemployed,False,True,False,False,False,False,False,False,False,False,False,
2,2011,Other Europe,25-29,,True,False,False,False,False,False,True,False,False,True,False,
3,2011,India,25-29,,True,True,False,False,False,False,True,False,False,False,False,
4,2011,Germany,< 20,Student / Unemployed,True,False,False,False,False,False,False,False,False,False,False,Haskell
5,2011,Other Asia,35-39,"$80,000 - $100,000",True,True,True,True,False,False,True,False,True,True,True,
6,2011,Australia,35-39,,False,True,False,False,False,False,True,True,False,False,False,
7,2011,United States of America,20-24,"$20,000 - $40,000",False,True,True,True,True,False,True,True,True,True,True,
8,2011,United States of America,20-24,"$80,000 - $100,000",False,True,True,True,False,False,True,False,False,False,False,
9,2011,Germany,35-39,"$80,000 - $100,000",False,False,False,False,False,False,False,True,False,False,False,
10,2011,Germany,,,False,False,False,False,False,False,False,False,False,False,False,
11,2011,United Kingdom,35-39,"$60,000 - $80,000",False,False,False,False,False,False,True,True,True,True,False,
12,2011,United Kingdom,25-29,"$40,000 - $60,000",False,True,False,False,True,False,True,False,True,True,True,
13,2011,India,25-29,"$20,000 - $40,000",False,False,False,False,False,False,False,True,False,False,False,
14,2011,United Kingdom,30-34,"$40,000 - $60,000",True,True,True,True,True,False,True,False,False,True,False,
15,2011,Other Europe,20-24,Student / Unemployed,True,False,False,False,True,False,True,False,False,False,False,
16,2011,United States of America,25-29,"$80,000 - $100,000",False,True,True,False,False,False,True,True,False,False,True,VB
17,2011,Australia,25-29,">$140,000",True,False,False,False,True,False,True,True,False,True,False,MATLAB
18,2011,Australia,30-34,"$80,000 - $100,000",False,False,False,False,False,False,True,True,False,False,False,
19,2011,United States of America,20-24,Student / Unemployed,True,True,True,True,False,False,False,False,False,False,False,
20,2011,United States of America,25-29,"$60,000 - $80,000",True,False,False,False,True,False,False,True,False,False,False,
21,2011,France,25-29,"$40,000 - $60,000",False,True,True,False,False,False,True,True,False,False,False,
22,2011,United States of America,25-29,"$60,000 - $80,000",True,False,False,False,True,False,False,False,True,False,False,
23,2011,Germany,25-29,"$80,000 - $100,000",False,False,False,True,False,False,True,True,True,True,False,
24,2011,United States of America,35-39,"$40,000 - $60,000",False,True,True,False,False,False,True,True,False,False,False,
25,2011,United States of America,35-39,"$100,000 - $120,000",False,False,False,False,False,False,True,True,False,False,False,
26,2011,Australasia,51-60,"$100,000 - $120,000",False,False,True,False,False,False,True,True,True,False,False,
27,2011,Canada,30-34,"$40,000 - $60,000",False,False,False,False,False,False,True,True,False,False,False,
28,2011,France,20-24,"$20,000 - $40,000",True,False,False,False,False,False,True,True,False,False,False,
29,2011,United States of America,25-29,,False,False,False,False,False,False,False,False,False,False,False,
